id,severity,title,description,iacontrols,ruleID,fixid,fixtext,checkid,checktext
V-44777,medium,Incognito mode must be disabled.,"Incognito mode allows the user to browse the Internet without recording their browsing history/activity.  From a forensics perspective, this is unacceptable.  Best practice requires that browser history is retained.  The ""IncognitoModeAvailability"" setting controls whether the user may utilize Incognito mode in Google Chrome. If 'Enabled' is selected or the policy is left unset, pages may be opened in Incognito mode. If 'Disabled' is selected, pages may not be opened in Incognito mode. If 'Forced' is selected, pages may be opened ONLY in Incognito mode.   
   0 = Incognito mode available.    
   1 = Incognito mode disabled.    
   2 = Incognito mode forced.",None,SV-57611r2_rule,F-49867r2_fix,"Windows group policy:
   1. Open the group policy editor tool with gpedit.msc   
   2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\
    Policy Name: Incognito mode availability
    Policy State: Enabled
    Policy Value: Incognito mode disabled",C-49557r2_chk,"Universal method:        
   1. In the omnibox (address bar) type chrome://policy        
   2. If IncognitoModeAvailability is not displayed under the Policy Name column or it is not set to 1 under the Policy Value column, then this is a finding.

Windows method:
   1. Start regedit
   2. Navigate to HKLM\Software\Policies\Google\Chrome\
   3. If the IncognitoModeAvailability value name does not exist or its value data is not set to 1, then this is a finding.
"
V-44745,high,The running of outdated plugins must be disabled.,"Running outdated plugins could lead to system compromise through the use of known exploits. Having plugins that updated to the most current version ensures the smallest attack surfuce possible. If you enable this setting, outdated plugins are used as normal plugins. If you disable this setting, outdated plugins will not be used and users will not be asked for permission to run them. If this setting is not set, users will be asked for permission to run outdated plugins.",None,SV-57579r2_rule,F-49837r3_fix,"Windows group policy:
   1. Open the group policy editor tool with gpedit.msc   
   2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\
    Policy Name: Allow running plugins that are outdated
    Policy State: Disabled
    Policy Value: N/A
",C-49529r2_chk,"Universal method:        
   1. In the omnibox (address bar) type chrome://policy        
   2. If AllowOutdatedPlugins is not displayed under the Policy Name column or it is not set to false under the Policy Name column, then this is a finding.

Windows method:
   1. Start regedit
   2. Navigate to HKLM\Software\Policies\Google\Chrome
   3. If the AllowOutdatedPlugins value name does not exist or its value data is not set to 0, then this is a finding.
"
V-44737,medium,Default search provider must be enabled.,"Policy enables the use of a default search provider. If you enable this setting, a default search is performed when the user types text in the omnibox that is not a URL. You can specify the default search provider to be used by setting the rest of the default search policies. If these are left empty, the user can choose the default provider. If you disable this setting, no search is performed when the user enters non-URL text in the omnibox. If you enable or disable this setting, users cannot change or override this setting in Google Chrome. If this policy is left not set, the default search provider is enabled, and the user will be able to set the search provider list.",None,SV-57571r3_rule,F-49829r3_fix,"Windows group policy:
   1. Open the group policy editor tool with gpedit.msc   
   2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\Default search provider\
    Policy Name: Enable the default search provider
    Policy State: Enabled
    Policy Value: N/A

",C-49521r4_chk,"Universal method: 
 1. In the omnibox (address bar) type chrome://policy 
 2. If DefaultSearchProviderEnabled is not displayed under the Policy Name column or it is not set to true under the Policy Value column, then this is a finding.

Windows method:
 1. Start regedit
 2. Navigate to HKLM\Software\Policies\Google\Chrome\
 3. If the DefaultSearchProviderEnabled value name does not exist or its value data is not set to 1, then this is a finding.

Note: This policy will only display in the chrome://policy tab on domain joined systems. On standalone systems, the policy will not display."
V-44757,medium,3D Graphics APIs must be disabled.,"Disable support for 3D graphics APIs. Enabling this setting prevents web pages from accessing the graphics processing unit (GPU). Specifically, web pages cannot access the WebGL API and plugins cannot use the Pepper 3D API. Disabling this setting or leaving it not set potentially allows web pages to use the WebGL API and plugins to use the Pepper 3D API. The default settings of the browser may still require command line arguments to be passed in order to use these APIs. Chrome uses WebGL to render graphics using the GPU. There are few sites that currently take advantage of this feature. Since there is unlikely to be an operational impact, it is recommended that this feature is turned off in order to reduce the attack surface.",None,SV-57591r3_rule,F-49849r3_fix,"Windows group policy:
   1. Open the group policy editor tool with gpedit.msc   
   2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\
    Policy Name: Disable support for 3D graphics APIs
    Policy State: Enabled
    Policy Value: N/A",C-49539r3_chk,"Universal method: 
1. In the omnibox (address bar) type chrome://policy 
2. If ""Disable3DAPIs"" is not displayed under the Policy Name column or it is not set to true under the Policy Value column, this is a finding.
Note:  If 3D APIs are required by mission, this is not a finding.

Windows method:
1. Start regedit
2. Navigate to HKLM\Software\Policies\Google\Chrome\
3. If the ""Disable3DAPIs"" value name does not exist or its value data is not set to ""1"", this is a finding.
Note: If 3D APIs are required by mission, this is not a finding."
V-44733,medium,The default search providers name must be set.,"Specifies the name of the default search provider that is to be used, if left empty or not set, the host name specified by the search URL will be used. This policy is only considered if the 'DefaultSearchProviderEnabled' policy is enabled. When doing internet searches it is important to use an encrypted connection via https.",None,SV-57567r2_rule,F-49825r5_fix,"Windows group policy:
   1. Open the group policy editor tool with gpedit.msc   
   2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\Default search provider\
    Policy Name: Default search provider name
    Policy State: Enabled
    Policy Value: set to an organization approved encrypted search provider that corresponds to the encrypted search provider set in DTBC-0008(ex. Google Encrypted, Bing Encrypted)

",C-49517r4_chk,"Universal method:        
   1. In the omnibox (address bar) type chrome://policy        
   2. If DefaultSearchProviderName is displayed under the Policy Name column or it is not set to an organization approved encrypted search provider that corresponds to the encrypted search provider set in DTBC-0008(ex. Google Encrypted, Bing Encrypted) under the Policy Value column, then this is a finding.

Windows method:
   1. Start regedit
   2. Navigate to HKLM\Software\Policies\Google\Chrome\
   3. If the DefaultSearchProviderName value name does not exist or it is not set to an organization approved encrypted search provider that corresponds to the encrypted search provider set in DTBC-0008(ex. Google Encrypted, Bing Encrypted), then this is a finding.
"
V-44735,medium,"The default search provider URL must be set to perform encrypted searches.
","Specifies the URL of the search engine used when doing a default search. The URL should contain the string '{searchTerms}', which will be replaced at query time by the terms the user is searching for. This option must be set when the 'DefaultSearchProviderEnabled' policy is enabled and will only be respected if this is the case.  When doing internet searches it is important to use an encrypted connection via https.",None,SV-57569r2_rule,F-49827r5_fix,"Windows group policy:
   1. Open the group policy editor tool with gpedit.msc   
   2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\Default search provider\
    Policy Name: Default search provider search URL
    Policy State: Enabled
    Policy Value: must be set to an organization approved encrypted search string 
    (ex. https://www.google.com/#q={searchTerms} or https://www.bing.com/search?q={searchTerms} )

",C-49519r7_chk,"Universal method:        
   1. In the omnibox (address bar) type chrome://policy        
   2. If DefaultSearchProviderSearchURL is not displayed under the Policy Name column or it is not set to an organization approved encrypted search string (ex. https://www.google.com/#q={searchTerms} or https://www.bing.com/search?q={searchTerms} ) under the Policy Value column, then this is a finding.

Windows method:
   1. Start regedit
   2. Navigate to HKLM\Software\Policies\Google\Chrome\
   3. If the DefaultSearchProviderSearchURL value name does not exist or its value data is not set to  an organization approved encrypted search string (ex. https://www.google.com/#q={searchTerms} or https://www.bing.com/search?q={searchTerms} ) then this is a finding.
"
V-44751,low,Third party cookies must be blocked.,"Third party cookies are cookies which can be set by web page elements that are not from the domain that is in the browser's address bar. Enabling this setting prevents cookies from being set by web page elements that are not from the domain that is in the browser's address bar. Disabling this setting allows cookies to be set by web page elements that are not from the domain that is in the browser's address bar and prevents users from changing this setting. If this policy is left not set, third party cookies will be enabled but the user will be able to change that.",None,SV-57585r2_rule,F-49841r3_fix,"Windows group policy:
   1. Open the group policy editor tool with gpedit.msc   
   2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\
    Policy Name: Block third party cookies
    Policy State: Enabled
    Policy Value: N/A
",C-49533r3_chk,"Universal method:        
   1. In the omnibox (address bar) type chrome://policy        
   2. If BlockThirdPartyCookies is not displayed under the Policy Name column or it is not set to true under the Policy Value column, then this is a finding.

Windows method:
   1. Start regedit
   2. Navigate to HKLM\Software\Policies\Google\Chrome\
   3. If the BlockThirdPartyCookies value name does not exist or its value data is not set to 1, then this is a finding.
"
V-44713,low,Sites ability for showing desktop notifications must be disabled.,"Chrome by default allows websites to display notifications on the desktop.  This check allows you to set whether or not this is permitted.  Displaying desktop notifications can be allowed by default, denied by default or the user can be asked every time a website wants to show desktop notifications. If this policy is left not set, 'AskNotifications' will be used and the user will be able to change it.    
   1 = Allow sites to show desktop notifications    
   2 = Do not allow any site to show desktop notifications    
   3 = Ask every time a site wants to show desktop notifications
",None,SV-57547r2_rule,F-49807r3_fix,"Windows group policy:
   1. Open the group policy editor tool with gpedit.msc   
   2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\Content Settings\
    Policy Name: Default notification setting
    Policy State: Enabled
    Policy Value: Do not allow any site to show desktop notifications

",C-49507r4_chk,"Universal method:              
   1. In the omnibox (address bar) type chrome://policy        
   2. If DefaultNotificationsSetting is not displayed under the Policy Name column or it is not set to 2, then this is a finding.

Windows method:
   1. Start regedit
   2. Navigate to HKLM\Software\Policies\Google\Chrome\
   3. If the DefaultNotificationsSetting value name does not exist or its value data is not set to 2, then this is a finding.
"
V-44773,medium,Search suggestions must be disabled.,"Search suggestion should be disabled as it could lead to searches being conducted that were never intended to be made. Enables search suggestions in Google Chrome's omnibox and prevents users from changing this setting. If you enable this setting, search suggestions are used. If you disable this setting, search suggestions are never used. If you enable or disable this setting, users cannot change or override this setting in Google Chrome. If this policy is left not set, this will be enabled but the user will be able to change it.",None,SV-57607r2_rule,F-49863r2_fix,"Windows group policy:
   1. Open the group policy editor tool with gpedit.msc   
   2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\
    Policy Name: Enable search suggestions
    Policy State: Disabled
    Policy Value: N/A",C-49553r2_chk,"Universal method:        
   1. In the omnibox (address bar) type chrome://policy        
   2. If SearchSuggestEnabled is not displayed under the Policy Name column or it is not set to false under the Policy Value column, then this is a finding.

Windows method:
   1. Start regedit
   2. Navigate to HKLM\Software\Policies\Google\Chrome\
   3. If the SearchSuggestEnabled value name does not exist or its value data is not set to 0, then this is a finding.
"
V-44759,medium,Google Data Synchronization must be disabled.,"Disables data synchronization in Google Chrome using Google-hosted synchronization services and prevents users from changing this setting. If you enable this setting, users cannot change or override this setting in Google Chrome. If this policy is left not set the user will be able to enable Google Sync.  Google Sync is used to sync information between different user devices, this data is then stored on Google owned servers. The synced data may consist of information such as email, calendars, viewing history, etc. This feature must be disabled because the organization does not have control over the servers the data is stored on.",None,SV-57593r2_rule,F-49851r3_fix,"Windows group policy:
   1. Open the group policy editor tool with gpedit.msc   
   2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\
    Policy Name: Disable synchronization of data with Google
    Policy State: Enabled
    Policy Value: N/A",C-49541r2_chk,"Universal method:        
  1. In the omnibox (address bar) type chrome://policy        
  2. If SyncDisabled is not displayed under the Policy Name column or it is not set to true under the Policy Value column, then this is a finding.

Windows method:
   1. Start regedit
   2. Navigate to HKLM\Software\Policies\Google\Chrome\
   3. If the SyncDisabled value name does not exist or its value data is not set to 1, then this is a finding.
"
V-44793,medium,Browser history must be saved.,"This policy disables saving browser history in Google Chrome and prevents users from changing this setting. If this setting is enabled, browsing history is not saved. If this setting is disabled or not set, browsing history is saved.",None,SV-57627r2_rule,F-49883r2_fix,"Windows group policy:
   1. Open the group policy editor tool with gpedit.msc   
   2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\
    Policy Name: Disable saving browser history
    Policy State: Disabled
    Policy Value:  N/A",C-49571r2_chk,"Universal method:        
   1. In the omnibox (address bar) type chrome://policy        
   2. If the policy 'SavingBrowserHistoryDisabled' is not shown or is not set to false, then this is a finding.

Windows method:
   1. Start regedit
   2. Navigate to HKLM\Software\Policies\Google\Chrome\
   3. If the SavingBrowserHistoryDisabled value name does not exist or its value data is not set to 0, then this is a finding.
"
V-44791,medium,"Safe Browsing must be enabled,","Enables Google Chrome's Safe Browsing feature and prevents users from changing this setting. If you enable this setting, Safe Browsing is always active. If you disable this setting, Safe Browsing is never active. If you enable or disable this setting, users cannot change or override this setting in Google Chrome. If this policy is left not set, this will be enabled but the user will be able to change it. Safe browsing uses a signature database to test sites when they are be loaded to ensure they don't contain any known malware.",None,SV-57625r2_rule,F-49881r2_fix,"Windows group policy:
   1. Open the group policy editor tool with gpedit.msc   
   2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\
    Policy Name: Enable Safe Browsing
    Policy State: Enabled
    Policy Value: N/A",C-49569r2_chk,"Universal method:        
   1. In the omnibox (address bar) type chrome://policy        
   2. If SafeBrowsingEnabled is not displayed under the Policy Name column or it is not set to true under the Policy Value column, then this is a finding.

Windows method:
   1. Start regedit
   2. Navigate to HKLM\Software\Policies\Google\Chrome\
   3. If the SafeBrowsingEnabled value name does not exist or its value data is not set to 1, then this is a finding.
"
V-44795,medium,Default behavior must block webpages from automatically running plugins.,"This policy allows you to set whether websites are allowed to automatically run plugins. Automatically running plugins can be either allowed for all websites or denied for all websites. If this policy is left not set, 'AllowPlugins' will be used and the user will be able to change it.    
   1 = Allow all sites to automatically run plugins    
   2 = Block all plugins    
   3 = Click to play.
",None,SV-57629r4_rule,F-49885r4_fix,"Windows group policy:
   1. Open the group policy editor tool with gpedit.msc   
   2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\Content Settings\
    Policy Name: Default plugins setting
    Policy State: Enabled
    Policy Value: Click to play",C-49573r3_chk,"Universal method: 
 1. In the omnibox (address bar) type chrome://policy 
 2. If the policy ""DefaultPluginsSetting"" is not shown or is not set to ""3"", this is a finding.

Windows method:
 1. Start regedit
 2. Navigate to HKLM\Software\Policies\Google\Chrome\DefaultPluginsSetting
 3. If this key ""DefaultPluginsSetting"" does not exist or is not set to ""3"", this is a finding."
V-44711,medium,Firewall traversal from remote host must be disabled.,"Remote connections should never be allowed that bypass the firewall, as there is no way to verify if they can be trusted. Enables usage of STUN and relay servers when remote clients are trying to establish a connection to this machine. If this setting is enabled, then remote clients can discover and connect to this machine even if they are separated by a firewall. If this setting is disabled and outgoing UDP connections are filtered by the firewall, then this machine will only allow connections from client machines within the local network. If this policy is left not set the setting will be enabled.	",None,SV-57545r4_rule,F-49801r5_fix,"Windows group policy:
   1. Open the group policy editor tool with gpedit.msc   
   2. Navigate to Policy Path: Computer Configuration\Administrative\Templates\Google\Google Chrome\Configure remote access options
   Policy Name: Enable firewall traversal from remote access host
   Policy State: Disabled
   Policy Value: N/A

",C-49503r4_chk,"Universal method:        
   1. In the omnibox (address bar) type chrome://policy        
   2. If RemoteAccessHostFirewallTraversal is not displayed under the Policy Name column or it is not set to false under the Policy Value column, then this is a finding.

Windows registry:
   1. Start regedit
   2. Navigate to HKLM\Software\Policies\Google\Chrome\
   3. If the RemoteAccessHostFirewallTraversal value name does not exist or its value data is not set to 0, then this is a finding.  
"
V-44775,medium,Importing of saved passwords must be disabled.,"Importing of saved passwords should be disabled as it could lead to unencrypted account passwords stored on the system from another browser to be viewed. This policy forces the saved passwords to be imported from the previous default browser if enabled. If enabled, this policy also affects the import dialog. If disabled, the saved passwords are not imported. If it is not set, the user may be asked whether to import, or importing may happen automatically.",None,SV-57609r4_rule,F-49865r4_fix,"Windows group policy:
   1. Open the group policy editor tool with gpedit.msc   
   2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\
   Policy Name: Import saved passwords from default browser on first run
   Policy State: Disabled
   Policy Value: N/A",C-49555r2_chk,"Universal method:        
   1. In the omnibox (address bar) type chrome://policy        
   2. If ImportSavedPasswords is not displayed under the Policy Name column or it is not set to false under the Policy Value column, then this is a finding.

Windows method:
   1. Start regedit
   2. Navigate to HKLM\Software\Policies\Google\Chrome\
   3. If the ImportSavedPasswords value name does not exist or its value data is not set to 0, then this is a finding."
V-44799,medium,Session only based cookies must be disabled.,"Policy allows you to set a list of URL patterns that specify sites which are allowed to set session only cookies. If this policy is left not set the global default value will be used for all sites either from the 'DefaultCookiesSetting' policy if it is set, or the user's personal configuration otherwise. If the 'RestoreOnStartup' policy is set to restore URLs from previous sessions this policy will not be respected and cookies will be stored permanently for those sites.",None,SV-57633r4_rule,F-49889r4_fix,"Windows group policy:
 1. Open the group policy editor tool with gpedit.msc 
 2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\Content Settings
 Policy Name: Allow session only cookies on these sites
 Policy State: Disabled
 Policy Value: N/A",C-49577r5_chk,"Universal method: 
1. In the omnibox(address bar) type chrome://policy 
2. If the policy 'CookiesSessionOnlyForUrls' exists, and has any defined values, this is a finding.

Windows method:
 1. Start regedit
 2. Navigate to HKLM\Software\Policies\Google\Google Chrome\Content Settings\CookiesSessionOnlyForUrls
 3. If this key exists and has any defined values, this is a finding."
